frame,x,y,z,roll,pitch,yaw
0,0.0,0.0,0.0,0.0,-0.0,0.0
1,0.004542236365563961,-0.00018269755790060432,0.6665243175955645,0.0019158136213216438,0.006283619180718311,0.002359192113074401
2,0.016184968869195248,0.0031417715799817608,1.3309811721587799,0.003518157612711403,0.011035602638525457,0.004793163735278607
3,0.029991223746294912,0.007724266519404246,2.004722020385092,0.0036826549981585797,0.01378441442829684,0.008423085811563326
4,0.04194309501461796,0.009815365061025715,2.682336455216464,0.0010207324182741932,0.014957419298275182,0.011998001653203975
5,0.05267183155236986,0.010637205470916044,3.3620901323612102,-0.001178318065133438,0.014965176680036153,0.014863108402900345
6,0.05975579148095202,0.012445491926171613,4.0436377679202575,-0.0020402315949464584,0.01326520650146103,0.016932311075478317
7,0.06602484756190671,0.016036069230785484,4.731718033983052,-0.0013590281679764715,0.010481297869035393,0.019802132378962067
8,0.06944828440248488,0.021525497316043037,5.422006983680514,-0.0002911233149626516,0.005972801615881797,0.022326264375929238
9,0.06720818663149924,0.027631627430120577,6.121754901022016,-0.00035414293521008195,-0.0006590953560977382,0.02512232580422544
10,0.05654473990781749,0.03253239383741136,6.821524639997893,-0.0018711261523846143,-0.008861828730590753,0.026799127262517083
11,0.037045776163383864,0.037083258123720805,7.528676414907072,-0.004860211507108446,-0.018415894958194307,0.02830920609921713
12,0.01230164536807895,0.04139157723201062,8.238481681307082,-0.007044357243508624,-0.029154855134134138,0.029926359505664746
13,-0.025972719849163446,0.048207328063633155,8.946492998128338,-0.00858522728344425,-0.040382621400799575,0.029162524390187156
14,-0.07095921945756592,0.057635670673295156,9.664113266813658,-0.008559357633449291,-0.051774100236203435,0.027390843836065056
15,-0.12447455247842529,0.062447041981159725,10.373980107473388,-0.006539448897986888,-0.06256369992802557,0.02695942763301047
16,-0.18088818968958062,0.06871700710041517,11.088147119866909,-0.006313397170484856,-0.07272240203098099,0.028322640906740484
17,-0.24671333903619827,0.0764487390669008,11.802129308781177,-0.00608282858148156,-0.08218179394508769,0.029544247238856187
18,-0.32072988454135887,0.08187920164423856,12.524819447369454,-0.005146446896166173,-0.09138876891622205,0.027362668320175438
19,-0.4000347585162723,0.08472167991736852,13.248672342546513,-0.004943417025385241,-0.10023829620713133,0.026061494489014743
20,-0.4791280422486927,0.08877285804797608,13.962542132905774,-0.0029306614677497584,-0.1087646198203561,0.02798221709091854
21,-0.5606019363926922,0.0935560256438466,14.671183899041912,-0.0028318019586153847,-0.11656317026979972,0.030668154685408382
22,-0.6520133406737019,0.09663583928541532,15.376600043533198,-0.004712310420204028,-0.12286247662928657,0.030886503361501526
23,-0.7539337218965687,0.09984636195955864,16.09629329712612,-0.006169242007758132,-0.12824641628175634,0.02812127864903289
24,-0.854254558796271,0.10286613326810773,16.803092099792213,-0.008028296666603143,-0.1324915445075912,0.02694184066404729
25,-0.9521773825667164,0.10769194352493444,17.507256241245898,-0.008512194046571327,-0.13655410640509638,0.02663539155813995
26,-1.0508781501667213,0.11577701887602064,18.209936461300444,-0.009948114989997266,-0.1399074472488357,0.028826831873442246
27,-1.1522421284671867,0.12281499989344839,18.906963555427044,-0.012227982850554655,-0.1430081002340074,0.028880163851986388
28,-1.2544239446344245,0.12915250175277843,19.601748002436246,-0.013984863731106988,-0.14490392143308634,0.029371839769832046
29,-1.3586822141061496,0.13479326104400105,20.29326565186925,-0.014493042281134495,-0.14608022897914344,0.02851660100166852
30,-1.463772480832085,0.14020211203295274,20.97824429411368,-0.013270076201264261,-0.14615029419116016,0.02758979217247154
31,-1.5672717516367205,0.14572791871550206,21.66168624176368,-0.010496358780499536,-0.1449369497916344,0.027034925935257033
32,-1.6565717144826457,0.15357498622977278,22.346183836901755,-0.008373729865386132,-0.1431986347406665,0.027623813129263434
33,-1.7493077808682633,0.16136944719390062,23.02510697248225,-0.008325047379233303,-0.1396085211101165,0.02885258538023132
34,-1.8402591789016711,0.1669436292894591,23.70296615261594,-0.010419520802247444,-0.13520199567171595,0.02928756586072164
35,-1.9245790040495137,0.17166385941995882,24.382792811361487,-0.011495163137452169,-0.13104422591635007,0.031451220593994474
36,-2.0182780652774426,0.17587401996132507,25.063308697547928,-0.011484915286672639,-0.12755998786634282,0.031591955012275
37,-2.0999257248431364,0.1807015672699016,25.730540974814165,-0.009215480338399392,-0.12388017252973509,0.03419400720809779
38,-2.177456961000996,0.18536249328572896,26.394120963265465,-0.0051220079976187416,-0.12129055193752739,0.03480677131278104
39,-2.258336901129548,0.18850744478220827,27.05825106360792,-0.003343591622737057,-0.11847018812936308,0.03480675983803564
40,-2.338589670988553,0.1915799268941903,27.722115967104372,-0.002530394857046198,-0.11569526789480175,0.032636585503777106
41,-2.414349364597229,0.19317645503816488,28.381263408942385,-0.003778103648815869,-0.11310076560773347,0.03274633870075331
42,-2.4891200012081356,0.19260316559538648,29.03708416641414,-0.005061581348129818,-0.11110831598410657,0.03024188136187287
43,-2.5630629883609224,0.19287995458163232,29.691754291662924,-0.0047593143653857145,-0.10845074300328626,0.02829935755942267
44,-2.6349180914725987,0.1953277991031573,30.342549681535107,-0.004151083230301555,-0.10647225811925394,0.0256383892141953
45,-2.704038886984184,0.19805412667356603,30.991313349520276,-0.004153580833519007,-0.10453948402915945,0.02537240565582808
46,-2.772456696066209,0.20085345698759918,31.6393115451503,-0.004526812667308338,-0.1028415318027052,0.02411102968942825
47,-2.8379623249798653,0.2028405629850867,32.289485017207504,-0.004510954361689468,-0.10101808544697616,0.024688340326556125
48,-2.909991045260324,0.20421515041817895,32.94220563331259,-0.0040168010209925215,-0.10001318866011828,0.024679545292037988
49,-2.970508669958994,0.2065903160766552,33.60322081377112,-0.00334896514584154,-0.10024935159360965,0.027160808220589493
50,-3.0371322955611726,0.21015340809225674,34.26304660025282,-0.0031879691419176514,-0.10155093395669865,0.02931674290247764
51,-3.1073423518397143,0.21281939509213949,34.912311804846134,-0.0037516759833061595,-0.10339081128053175,0.029515133442115177
52,-3.1837792882608156,0.21500334483625577,35.56304794214521,-0.004736744926228575,-0.10545311141792467,0.02849322707053132
53,-3.25603240067942,0.21942773460498105,36.22109457041017,-0.006756494676755386,-0.10744283021036327,0.027724102590641255
54,-3.334267398075416,0.22345052910990515,36.869951353207064,-0.010474781132659827,-0.10922197216708232,0.02586735584883118
